Board,Reference,Signal,Side,X_mm,Y_mm,Ground_testpoint,Ground_distance_mm,Probe_envelope_obstacles,Access,Scope
Main,TP18,CS_IMU,B.Cu,40.35,89.7,TP15,8.914,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP21,MOTOR_SPI_SCLK,B.Cu,56.8,88.0,TP9,5.8,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP31,BOOT_SAFE_SPARE,B.Cu,52.6,92.0,TP9,8.0,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP10,VBUS_USB,B.Cu,52.95,29.7,TP9,54.301,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP14,USB_ILM,B.Cu,26.0,28.5,TP15,59.763,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP4,UART_TX,B.Cu,30.7553,96.0303,TP15,8.075,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP32,WHEEL_PWM_B,B.Cu,56.8,92.0,TP9,9.035,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP42,OPT_VDDPIX,B.Cu,52.0,79.0,TP9,5.036,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP26,PAW_MOTION_N,B.Cu,31.6,92.0,TP15,4.0,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP27,IMU_INT1,B.Cu,35.8,92.0,TP15,5.8,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,J8.1,GND,F.Cu / B.Cu,74.77,45.72,J8.1,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.2,SPI_SCLK,F.Cu / B.Cu,72.23,45.72,J8.1,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.3,GND,F.Cu / B.Cu,74.77,48.26,J8.3,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.4,SPI_MOSI,F.Cu / B.Cu,72.23,48.26,J8.3,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.5,GND,F.Cu / B.Cu,74.77,50.8,J8.5,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.6,CS_DRV8316,F.Cu / B.Cu,72.23,50.8,J8.5,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.7,GND,F.Cu / B.Cu,74.77,53.34,J8.7,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.8,DRV_MISO_LOCAL,F.Cu / B.Cu,72.23,53.34,J8.7,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.9,GND,F.Cu / B.Cu,74.77,55.88,J8.9,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.10,MOTOR_SPI_SCLK,F.Cu / B.Cu,72.23,55.88,J8.9,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.11,GND,F.Cu / B.Cu,74.77,58.42,J8.11,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.12,MOTOR_SPI_MOSI,F.Cu / B.Cu,72.23,58.42,J8.11,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.13,GND,F.Cu / B.Cu,74.77,60.96,J8.13,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.14,CS_ADC2,F.Cu / B.Cu,72.23,60.96,J8.13,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.15,GND,F.Cu / B.Cu,74.77,63.5,J8.15,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.16,ADC2_MISO_LOCAL,F.Cu / B.Cu,72.23,63.5,J8.15,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.17,GND,F.Cu / B.Cu,74.77,66.04,J8.17,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.18,WHEEL_PWM_A,F.Cu / B.Cu,72.23,66.04,J8.17,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.19,GND,F.Cu / B.Cu,74.77,68.58,J8.19,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.20,WHEEL_PWM_B,F.Cu / B.Cu,72.23,68.58,J8.19,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.21,GND,F.Cu / B.Cu,74.77,71.12,J8.21,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.22,WHEEL_PWM_C,F.Cu / B.Cu,72.23,71.12,J8.21,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.23,GND,F.Cu / B.Cu,74.77,73.66,J8.23,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.24,ACT_DRIVE_EN,F.Cu / B.Cu,72.23,73.66,J8.23,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.25,GND,F.Cu / B.Cu,74.77,76.2,J8.25,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.26,WHEEL_RUN_REQ,F.Cu / B.Cu,72.23,76.2,J8.25,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.27,GND,F.Cu / B.Cu,74.77,78.74,J8.27,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.28,DRV_FAULT_LOCAL_N,F.Cu / B.Cu,72.23,78.74,J8.27,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.29,GND,F.Cu / B.Cu,74.77,81.28,J8.29,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J8.30,+3V3,F.Cu / B.Cu,72.23,81.28,J8.29,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J6.1,ENC_3V3,F.Cu / B.Cu,31.81,17.27,J6.2,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J6.2,GND,F.Cu / B.Cu,31.81,14.73,J6.2,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J6.3,ENC_SCLK_LOCAL,F.Cu / B.Cu,29.27,17.27,J6.4,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J6.4,GND,F.Cu / B.Cu,29.27,14.73,J6.4,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J6.5,ENC_MOSI_LOCAL,F.Cu / B.Cu,26.73,17.27,J6.7,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J6.6,ENC_CS_LOCAL,F.Cu / B.Cu,26.73,14.73,J6.4,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J6.7,GND,F.Cu / B.Cu,24.19,17.27,J6.7,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J6.8,ENC_MISO_LOCAL,F.Cu / B.Cu,24.19,14.73,J6.7,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J10.1,ACT_5V,F.Cu / B.Cu,72.27,42.0,J10.2,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J10.2,GND,F.Cu / B.Cu,69.73,42.0,J10.2,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J3.1,BTN_M_COIL_P,F.Cu / B.Cu,15.73,60.5,TP15.1,31.751,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J3.2,BTN_M_COIL_N,F.Cu / B.Cu,18.27,60.5,TP15.1,30.56,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J4.1,BTN_R_COIL_P,F.Cu / B.Cu,61.73,35.5,TP9.1,49.352,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J4.2,BTN_R_COIL_N,F.Cu / B.Cu,64.27,35.5,TP9.1,49.884,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J2.1,BTN_L_COIL_P,F.Cu / B.Cu,15.73,35.5,TP15.1,54.846,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Main,J2.2,BTN_L_COIL_N,F.Cu / B.Cu,18.27,35.5,TP15.1,54.166,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,TP34,ACT_5V,F.Cu,3.0,24.0,TP37,20.0,C90,Top access; verify probe barrel clearance,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Wheel,TP35,BRAKE_REF,F.Cu,3.0,34.0,TP37,10.0,,Top access; verify probe barrel clearance,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Wheel,TP37,GND,F.Cu,3.0,44.0,TP37,0.0,,Top access; verify probe barrel clearance,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Wheel,TP36,BRAKE_OUT,F.Cu,20.0,41.0,TP37,17.263,,Top access; verify probe barrel clearance,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Wheel,J9.1,+3V3,F.Cu / B.Cu,53.28,5.27,J9.2,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.2,GND,F.Cu / B.Cu,53.28,2.73,J9.2,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.3,DRV_FAULT_LOCAL_N,F.Cu / B.Cu,50.74,5.27,J9.4,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.4,GND,F.Cu / B.Cu,50.74,2.73,J9.4,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.5,WHEEL_RUN_REQ,F.Cu / B.Cu,48.2,5.27,J9.6,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.6,GND,F.Cu / B.Cu,48.2,2.73,J9.6,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.7,ACT_DRIVE_EN,F.Cu / B.Cu,45.66,5.27,J9.8,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.8,GND,F.Cu / B.Cu,45.66,2.73,J9.8,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.9,WHEEL_PWM_C,F.Cu / B.Cu,43.12,5.27,J9.10,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.10,GND,F.Cu / B.Cu,43.12,2.73,J9.10,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.11,WHEEL_PWM_B,F.Cu / B.Cu,40.58,5.27,J9.12,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.12,GND,F.Cu / B.Cu,40.58,2.73,J9.12,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.13,WHEEL_PWM_A,F.Cu / B.Cu,38.04,5.27,J9.14,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.14,GND,F.Cu / B.Cu,38.04,2.73,J9.14,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.15,ADC2_MISO_LOCAL,F.Cu / B.Cu,35.5,5.27,J9.16,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.16,GND,F.Cu / B.Cu,35.5,2.73,J9.16,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.17,CS_ADC2,F.Cu / B.Cu,32.96,5.27,J9.18,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.18,GND,F.Cu / B.Cu,32.96,2.73,J9.18,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.19,MOTOR_SPI_MOSI,F.Cu / B.Cu,30.42,5.27,J9.20,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.20,GND,F.Cu / B.Cu,30.42,2.73,J9.20,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.21,MOTOR_SPI_SCLK,F.Cu / B.Cu,27.88,5.27,J9.22,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.22,GND,F.Cu / B.Cu,27.88,2.73,J9.22,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.23,DRV_MISO_LOCAL,F.Cu / B.Cu,25.34,5.27,J9.24,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.24,GND,F.Cu / B.Cu,25.34,2.73,J9.24,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.25,CS_DRV8316,F.Cu / B.Cu,22.8,5.27,J9.26,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.26,GND,F.Cu / B.Cu,22.8,2.73,J9.26,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.27,SPI_MOSI,F.Cu / B.Cu,20.26,5.27,J9.28,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.28,GND,F.Cu / B.Cu,20.26,2.73,J9.28,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.29,SPI_SCLK,F.Cu / B.Cu,17.72,5.27,J9.30,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J9.30,GND,F.Cu / B.Cu,17.72,2.73,J9.30,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J11.1,ACT_5V,F.Cu / B.Cu,9.27,10.35,J11.2,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Wheel,J11.2,GND,F.Cu / B.Cu,6.73,10.35,J11.2,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Encoder,J7.1,ENC_3V3,F.Cu / B.Cu,53.19,63.23,J7.2,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Encoder,J7.2,GND,F.Cu / B.Cu,53.19,65.77,J7.2,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Encoder,J7.3,ENC_SCLK_LOCAL,F.Cu / B.Cu,55.73,63.23,J7.4,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Encoder,J7.4,GND,F.Cu / B.Cu,55.73,65.77,J7.4,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Encoder,J7.5,ENC_MOSI_LOCAL,F.Cu / B.Cu,58.27,63.23,J7.7,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Encoder,J7.6,ENC_CS_LOCAL,F.Cu / B.Cu,58.27,65.77,J7.4,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Encoder,J7.7,GND,F.Cu / B.Cu,60.81,63.23,J7.7,0.0,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
Encoder,J7.8,ENC_MISO_LOCAL,F.Cu / B.Cu,60.81,65.77,J7.7,2.54,Soldered wire may occupy land; approach from underside,Existing plated land; no added stub or wire loop,Use nearby ground spring for digital measurements; verify actual probe and wire clearance
