Harness,From,To,Signal,Length_mm,Wire,From_pad_X_mm,From_pad_Y_mm,To_pad_X_mm,To_pad_Y_mm,Check
Soldered ribbon,Main/J8.1,Wheel/J9.30,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,45.72,17.72,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.12,Wheel/J9.19,MOTOR_SPI_MOSI,150,30-way AWG28 ribbon; retain all ground conductors,72.23,58.42,30.42,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.13,Wheel/J9.18,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,60.96,32.96,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.14,Wheel/J9.17,CS_ADC2,150,30-way AWG28 ribbon; retain all ground conductors,72.23,60.96,32.96,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.15,Wheel/J9.16,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,63.5,35.5,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.16,Wheel/J9.15,ADC2_MISO_LOCAL,150,30-way AWG28 ribbon; retain all ground conductors,72.23,63.5,35.5,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.17,Wheel/J9.14,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,66.04,38.04,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.18,Wheel/J9.13,WHEEL_PWM_A,150,30-way AWG28 ribbon; retain all ground conductors,72.23,66.04,38.04,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.19,Wheel/J9.12,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,68.58,40.58,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.20,Wheel/J9.11,WHEEL_PWM_B,150,30-way AWG28 ribbon; retain all ground conductors,72.23,68.58,40.58,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.21,Wheel/J9.10,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,71.12,43.12,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.22,Wheel/J9.9,WHEEL_PWM_C,150,30-way AWG28 ribbon; retain all ground conductors,72.23,71.12,43.12,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.23,Wheel/J9.8,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,73.66,45.66,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.24,Wheel/J9.7,ACT_DRIVE_EN,150,30-way AWG28 ribbon; retain all ground conductors,72.23,73.66,45.66,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.25,Wheel/J9.6,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,76.2,48.2,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.26,Wheel/J9.5,WHEEL_RUN_REQ,150,30-way AWG28 ribbon; retain all ground conductors,72.23,76.2,48.2,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.27,Wheel/J9.4,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,78.74,50.74,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.28,Wheel/J9.3,DRV_FAULT_LOCAL_N,150,30-way AWG28 ribbon; retain all ground conductors,72.23,78.74,50.74,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.29,Wheel/J9.2,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,81.28,53.28,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.30,Wheel/J9.1,+3V3,150,30-way AWG28 ribbon; retain all ground conductors,72.23,81.28,53.28,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Wheel power,Main/J10.1,Wheel/J11.1,ACT_5V,150,AWG22; directly soldered pair,72.27,42.0,9.27,10.35,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Wheel power,Main/J10.2,Wheel/J11.2,GND,150,AWG22; directly soldered pair,69.73,42.0,6.73,10.35,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Encoder,Main/J6.1,Encoder/J7.1,ENC_3V3,150,AWG28; soldered eight-conductor ribbon,31.81,17.27,53.19,63.23,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Encoder,Main/J6.2,Encoder/J7.2,GND,150,AWG28; soldered eight-conductor ribbon,31.81,14.73,53.19,65.77,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Encoder,Main/J6.3,Encoder/J7.3,ENC_SCLK_LOCAL,150,AWG28; soldered eight-conductor ribbon,29.27,17.27,55.73,63.23,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Encoder,Main/J6.4,Encoder/J7.4,GND,150,AWG28; soldered eight-conductor ribbon,29.27,14.73,55.73,65.77,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Encoder,Main/J6.5,Encoder/J7.5,ENC_MOSI_LOCAL,150,AWG28; soldered eight-conductor ribbon,26.73,17.27,58.27,63.23,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Encoder,Main/J6.6,Encoder/J7.6,ENC_CS_LOCAL,150,AWG28; soldered eight-conductor ribbon,26.73,14.73,58.27,65.77,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Encoder,Main/J6.7,Encoder/J7.7,GND,150,AWG28; soldered eight-conductor ribbon,24.19,17.27,60.81,63.23,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Encoder,Main/J6.8,Encoder/J7.8,ENC_MISO_LOCAL,150,AWG28; soldered eight-conductor ribbon,24.19,14.73,60.81,65.77,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Button L,Main/J2.1,Coil L lead 1,BTN_L_COIL_P,200,AWG24; directly soldered paired conductors,15.73,35.5,,,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Button L,Main/J2.2,Coil L lead 2,BTN_L_COIL_N,200,AWG24; directly soldered paired conductors,18.27,35.5,,,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Button M,Main/J3.1,Coil M lead 1,BTN_M_COIL_P,200,AWG24; directly soldered paired conductors,15.73,60.5,,,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Button M,Main/J3.2,Coil M lead 2,BTN_M_COIL_N,200,AWG24; directly soldered paired conductors,18.27,60.5,,,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Button R,Main/J4.1,Coil R lead 1,BTN_R_COIL_P,200,AWG24; directly soldered paired conductors,61.73,35.5,,,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Button R,Main/J4.2,Coil R lead 2,BTN_R_COIL_N,200,AWG24; directly soldered paired conductors,64.27,35.5,,,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
