Board,Reference,MPN,Footprint,Method,Hidden_pad_review,Pin1_X_mm,Pin1_Y_mm,Rotation_deg,Inspection,Profile_MSL_review
Main,U11,TUSB320LAIRWBR,Texas_X2QFN-12_1.6x1.6mm_P0.4mm,TOP SMT REFLOW,REQUIRED,52.275,24.8,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U14,SN74LVC2G04DCKR,SOT-363_SC-70-6,TOP SMT REFLOW,Check manufacturer drawing,23.4125,44.85,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U10,ADS7038IRTER,WQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm,TOP SMT REFLOW,REQUIRED,49.0425,45.25,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,J6,SM08B-SRSS-TB(LF)(SN),JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,TOP SMT REFLOW,Check manufacturer drawing,31.5,20.5,180.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U20,TPD2E2U06DCKR,SOT-323_SC-70,TOP SMT REFLOW,Check manufacturer drawing,50.8125,18.85,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U33,TPS7A2450DBVR,SOT-23-5,TOP SMT REFLOW,Check manufacturer drawing,47.05,19.6375,90.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U39,SN74LVC1G125DBVR,SOT-23-5,TOP SMT REFLOW,Check manufacturer drawing,32.3625,54.65,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,J10,SM02B-PASS-TB(LF)(SN),JST_PA_SM02B-PASS_1x02_P2.00mm_Horizontal,TOP SMT REFLOW,REQUIRED,73.0,92.35,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,J1,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,TOP SMT REFLOW,Check manufacturer drawing,,,180.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U36,TLV75519PDBVR,SOT-23-5,TOP SMT REFLOW,Check manufacturer drawing,29.1375,65.95,180.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U9,TMAG5253BA2IQDMRR,Texas_X2SON-4-1EP_1.1x1.4mm_P0.5mm_EP0.8x0.6mm,TOP SMT REFLOW,REQUIRED,62.75,40.725,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U6,DRV8231ADSGR,Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,TOP SMT REFLOW,REQUIRED,62.05,44.25,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U8,TMAG5253BA2IQDMRR,Texas_X2SON-4-1EP_1.1x1.4mm_P0.5mm_EP0.8x0.6mm,TOP SMT REFLOW,REQUIRED,23.75,59.225,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,J3,B2B-PH-SM4-TBT(LF)(SN),JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,TOP SMT REFLOW,Check manufacturer drawing,16.0,60.5,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U15,SN74LVC1G123DCUR,VSSOP-8_2.3x2mm_P0.5mm,TOP SMT REFLOW,Check manufacturer drawing,56.6,100.25,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,D4,BAT54-7-F,SOT-23,TOP SMT REFLOW,Check manufacturer drawing,52.0625,61.85,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U34,SN74LV1T34DBVR,SOT-23-5,TOP SMT REFLOW,Check manufacturer drawing,64.55,19.6375,90.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U3,ESP32-S3-MINI-1-N8,ESP32-S2-MINI-1,TOP SMT REFLOW,REQUIRED,47.0,102.4,180.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U12,TPS259470LRPWR,Texas_RPW0010A,TOP SMT REFLOW,REQUIRED,22.35,24.3,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U25,SN74LVC125APWR,TSSOP-14_4.4x5mm_P0.65mm,TOP SMT REFLOW,Check manufacturer drawing,49.8,59.8625,90.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,D1,SMBJ12A,D_SMB,TOP SMT REFLOW,Check manufacturer drawing,19.15,19.0,180.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U35,PMW3360DM-T2QU,PixArt_PMW3360DM_T2QU,HAND / OPTICAL AFTER REFLOW,Check manufacturer drawing,45.85,78.16,-90.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U28,TPS22919DCKR,SOT-363_SC-70-6,TOP SMT REFLOW,Check manufacturer drawing,21.35,41.3375,90.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U4,DRV8231ADSGR,Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,TOP SMT REFLOW,REQUIRED,16.05,44.25,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,Q1,2N7002,SOT-23,TOP SMT REFLOW,Check manufacturer drawing,26.0625,29.55,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,J4,B2B-PH-SM4-TBT(LF)(SN),JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,TOP SMT REFLOW,Check manufacturer drawing,62.0,35.5,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U19,TLV9001IDBVR,SOT-23-5,TOP SMT REFLOW,Check manufacturer drawing,27.1375,34.95,180.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,D2,SMBJ6.0A,D_SMB,TOP SMT REFLOW,Check manufacturer drawing,14.85,69.5,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U29,SN74LVC125APWR,TSSOP-14_4.4x5mm_P0.65mm,TOP SMT REFLOW,Check manufacturer drawing,24.05,43.1125,90.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U5,DRV8231ADSGR,Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,TOP SMT REFLOW,REQUIRED,16.05,53.25,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U13,TPS259470LRPWR,Texas_RPW0010A,TOP SMT REFLOW,REQUIRED,60.1,56.3,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,J2,B2B-PH-SM4-TBT(LF)(SN),JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,TOP SMT REFLOW,Check manufacturer drawing,16.0,35.5,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Wheel,U22,SN74LVC08APWR,TSSOP-14_4.4x5mm_P0.65mm,TOP SMT REFLOW,Check manufacturer drawing,38.05,40.8625,90.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Wheel,D6,SMBJ6.0A,D_SMB,TOP SMT REFLOW,Check manufacturer drawing,17.0,10.15,90.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Wheel,U30,TLV1811DBVR,SOT-23-5,TOP SMT REFLOW,Check manufacturer drawing,13.1375,36.95,180.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Wheel,C90,16SVPC100M,CP_Elec_6.3x5.9,TOP SMT REFLOW,Check manufacturer drawing,5.2,21.0,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Wheel,J9,FH12-30S-0.5SH(55),Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,TOP SMT REFLOW,Check manufacturer drawing,45.25,6.85,180.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Wheel,U21,DRV8316RRGFR,Texas_RGF0040E,TOP SMT REFLOW,REQUIRED,25.1,25.25,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Wheel,U23,ADS7038IRTER,WQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm,TOP SMT REFLOW,REQUIRED,27.4575,16.75,180.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Wheel,Q5,AO3400A,SOT-23,TOP SMT REFLOW,Check manufacturer drawing,11.0625,43.05,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Wheel,J11,SM02B-PASS-TB(LF)(SN),JST_PA_SM02B-PASS_1x02_P2.00mm_Horizontal,TOP SMT REFLOW,REQUIRED,9.0,10.35,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Wheel,Q4,2N7002,SOT-23,TOP SMT REFLOW,Check manufacturer drawing,31.0625,39.05,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Wheel,U26,SN74LVC125APWR,TSSOP-14_4.4x5mm_P0.65mm,TOP SMT REFLOW,Check manufacturer drawing,35.1375,12.05,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Wheel,U24,SN74LVC125APWR,TSSOP-14_4.4x5mm_P0.65mm,TOP SMT REFLOW,Check manufacturer drawing,37.1375,22.05,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Wheel,U31,LM4040AIM3-2.5/NOPB,SOT-23,TOP SMT REFLOW,Check manufacturer drawing,6.0625,32.05,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Encoder,U27,MA735GGU-P,MPS_UTQFN14_2x2,TOP SMT REFLOW,REQUIRED,56.025,55.1,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Encoder,J7,SM08B-SRSS-TB(LF)(SN),JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,TOP SMT REFLOW,Check manufacturer drawing,53.5,62.5,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
