Designator,MPN,LCSC Part #,Units for 5 boards,Quote treatment,Recorded sourcing status,Supplier URL
Q5,AO3400A,C20917,5,JLC matching pending,Catalog identity checked; stock/assembly eligibility refresh required,https://www.lcsc.com/product-detail/C20917.html
R81,0603WAF220JT5E,C23345,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C23345.html
R82,0603WAF1002T5E,C25804,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25804.html
R83,0603WAF1003T5E,C25803,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25803.html
R84,0603WAF1002T5E,C25804,5,JLC matching pending,Catalog identity checked; stock and assembly quote not reserved,https://jlcpcb.com/partdetail/C25804
R86,0603WAF1002T5E,C25804,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25804.html
R87,0603WAF4701T5E,C23162,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C23162.html
R88,0603WAF4701T5E,C23162,5,JLC matching pending,Catalog identity checked; stock and assembly quote not reserved,https://jlcpcb.com/partdetail/C23162
R89,0603WAF1003T5E,C25803,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25803.html
R90,0603WAF1003T5E,C25803,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25803.html
R91,0603WAF1003T5E,C25803,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25803.html
R92,0603WAF1003T5E,C25803,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25803.html
R94,0603WAF1003T5E,C25803,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25803.html
R95,0603WAF1003T5E,C25803,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25803.html
R96,0603WAF1003T5E,C25803,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25803.html
R97,0603WAF1003T5E,C25803,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25803.html
R98,0603WAF1002T5E,C25804,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25804.html
R100,0603WAF1003T5E,C25803,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25803.html
R102,0603WAF3300T5E,C23138,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C23138.html
R103,0603WAF3300T5E,C23138,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C23138.html
R104,0603WAF3300T5E,C23138,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C23138.html
R105,0603WAF0000T5E,C21189,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C21189.html
R106,0603WAF0000T5E,C21189,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C21189.html
R107,0603WAF0000T5E,C21189,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C21189.html
R108,0603WAF0000T5E,C21189,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C21189.html
R109,0603WAF0000T5E,C21189,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C21189.html
R111,0603WAF1002T5E,C25804,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25804.html
R112,0603WAF1003T5E,C25803,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25803.html
R113,0603WAF3482T5E,C23141,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://jlcpcb.com/partdetail/C23141
R114,0603WAF1003T5E,C25803,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25803.html
R115,0603WAF1004T5E,C22935,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C22935.html
R116,0603WAF1004T5E,C22935,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C22935.html
R117,0603WAF1004T5E,C22935,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C22935.html
R119,0603WAF1000T5E,C22775,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C22775.html
R120,0603WAF1003T5E,C25803,5,JLC matching pending,Catalog identity checked; refresh stock/quote before order,https://www.lcsc.com/product-detail/C25803.html
R121,RC2512JK-7W47RL,C136992,5,JLC matching pending,47 ohm 5% 2W each; thermal derating/placement and regenerated energy require measurements,https://www.lcsc.com/product-detail/C136992.html
R122,RC2512JK-7W47RL,C136992,5,JLC matching pending,47 ohm 5% 2W each; thermal derating/placement and regenerated energy require measurements,https://www.lcsc.com/product-detail/C136992.html
R123,RC2512JK-7W47RL,C136992,5,JLC matching pending,47 ohm 5% 2W each; thermal derating/placement and regenerated energy require measurements,https://www.lcsc.com/product-detail/C136992.html
R124,RC2512JK-7W47RL,C136992,5,JLC matching pending,47 ohm 5% 2W each; thermal derating/placement and regenerated energy require measurements,https://www.lcsc.com/product-detail/C136992.html
R137,0603WAF1002T5E,C25804,5,JLC matching pending,Catalog identity checked; stock and assembly quote not reserved,https://jlcpcb.com/partdetail/C25804
R138,0603WAF1002T5E,C25804,5,JLC matching pending,Catalog identity checked; stock and assembly quote not reserved,https://jlcpcb.com/partdetail/C25804
R139,0603WAF1002T5E,C25804,5,JLC matching pending,Catalog identity checked; stock and assembly quote not reserved,https://jlcpcb.com/partdetail/C25804
R140,0603WAF1002T5E,C25804,5,JLC matching pending,Catalog identity checked; stock and assembly quote not reserved,https://jlcpcb.com/partdetail/C25804
R144,0603WAF3302T5E,C4216,5,JLC matching pending,Catalog identity checked; stock and assembly quote not reserved,https://jlcpcb.com/partdetail/C4216
R145,0603WAF3302T5E,C4216,5,JLC matching pending,Catalog identity checked; stock and assembly quote not reserved,https://jlcpcb.com/partdetail/C4216
R146,0603WAF4701T5E,C23162,5,JLC matching pending,,
U21,DRV8316RRGFR,C5218861,5,JLC matching pending,Catalog identity checked; stock/assembly eligibility refresh required,https://www.lcsc.com/product-detail/C5218861.html
U22,SN74LVC08APWR,C465737,5,JLC matching pending,Catalog identity checked; stock/assembly eligibility refresh required,https://www.lcsc.com/product-detail/C465737.html
U23,ADS7038IRTER,C2871580,5,JLC matching pending,Catalog identity checked; stock/assembly eligibility refresh required,https://www.lcsc.com/product-detail/C2871580.html
U24,SN74LVC125APWR,C7813,5,JLC matching pending,Catalog identity checked; stock/assembly eligibility refresh required,https://www.lcsc.com/product-detail/C7813.html
U26,SN74LVC125APWR,C7813,5,JLC matching pending,Catalog identity checked; stock/assembly eligibility refresh required,https://www.lcsc.com/product-detail/C7813.html
U30,TLV1811DBVR,C5373003,5,JLC matching pending,Catalog identity checked; stock/assembly eligibility refresh required,https://jlcpcb.com/partdetail/C5373003
U31,LM4040AIM3-2.5/NOPB,C139302,5,JLC matching pending,Catalog identity checked; stock/assembly eligibility refresh required,https://www.lcsc.com/product-detail/C139302.html
