Via,UUID,KiCad X mm,KiCad Y mm,Gerber/CPL X mm,Gerber/CPL Y mm,Drill mm,Diameter mm,Net,SMD pad drill overlap
V0023,2bac4452-b959-4a89-9bea-f8ec38c8df40,11.95,36.65,11.95,-36.65,0.3,0.6,ACT_5V,
V0024,12b9e721-bfe2-443a-80aa-3aeb4599ab22,12.3,21.0,12.3,-21.0,0.3,0.6,GND,C90.2@F.Cu
V0025,8525d7cf-8006-437b-a65c-210cb7048fb3,12.6,31.2,12.6,-31.2,0.3,0.6,GND,
V0026,9c0d7981-f220-4011-a251-2584948097f9,13.1,21.0,13.1,-21.0,0.3,0.6,GND,
V0027,ad1cbccc-be65-4236-943b-7dcbca992169,13.1375,36.0,13.1375,-36.0,0.3,0.6,GND,U30.2@F.Cu
V0028,df3e33f7-f8eb-43e6-ab3a-c0a914709ce8,13.237499,51.0,13.237499,-51.0,0.3,0.6,ACT_5V,
V0029,5b25ff49-d7b4-45f3-a5e2-c67003377db7,13.237499,57.0,13.237499,-57.0,0.3,0.6,ACT_5V,
V0030,464ba102-788b-4855-9908-2bf3e87a87c3,14.0,38.35,14.0,-38.35,0.3,0.6,GND,
V0031,4c2c0c6b-8f6c-494d-a695-85cc84ec4cd8,14.0375,51.0,14.0375,-51.0,0.3,0.6,ACT_5V,
V0032,db3342c5-f506-4792-8765-e7ba6da40bed,14.0375,57.0,14.0375,-57.0,0.3,0.6,ACT_5V,
V0033,f1c18efb-da7b-4ca9-bd84-0887b6c01036,14.8375,51.0,14.8375,-51.0,0.3,0.6,ACT_5V,
V0034,b58ba4ba-f7a7-4d85-8213-769c46cd14f8,14.8375,57.0,14.8375,-57.0,0.3,0.6,ACT_5V,
V0035,1dea3682-e722-4b24-a70d-3a7fb33e8d84,15.0,33.15,15.0,-33.15,0.3,0.6,GND,
V0036,10359bce-3181-4794-b4cb-667b5394ae40,15.6,47.45,15.6,-47.45,0.3,0.6,ACT_5V,
V0037,d3c05f52-0b4b-4154-8ed6-75c1845c1211,16.2,3.9,16.2,-3.9,0.3,0.6,GND,
V0038,24e5b891-75d9-48cb-9ae8-b38d425e7a9c,16.2,12.5,16.2,-12.5,0.3,0.6,ACT_5V,
V0039,8f190a58-3208-4c25-8a08-d52e62136906,16.7,43.9,16.7,-43.9,0.3,0.6,ACT_5V,
V0040,927263dc-778e-4e96-a7aa-d47c618365a1,17.0,3.9,17.0,-3.9,0.3,0.6,GND,
V0041,54e3e719-dc54-4b30-9a0b-5c0444adf662,17.0,12.5,17.0,-12.5,0.3,0.6,ACT_5V,
V0042,133c63a7-3bb5-44fc-8c6f-f1aa134d7876,17.0,25.6,17.0,-25.6,0.3,0.6,GND,
V0043,1e111e7e-a4b3-4efd-a214-d300b5d2f505,17.0,34.225,17.0,-34.225,0.3,0.6,GND,C65.2@F.Cu
V0044,7ed5a238-807c-4069-a447-2b59cdd49e14,17.0,40.1,17.0,-40.1,0.3,0.6,GND,
V0045,8889d7af-3cc1-4ef2-b792-06d85adcbb6b,17.8,3.9,17.8,-3.9,0.3,0.6,GND,
V0046,6273f9ce-c5f8-4d33-816e-05134f32329c,17.8,12.5,17.8,-12.5,0.3,0.6,ACT_5V,
V0047,002c02d6-a033-49d1-adda-f551c8153455,18.0,29.2,18.0,-29.2,0.3,0.6,ACT_5V,
V0048,119db36a-ff76-48b4-b8b8-eaf0b5635613,18.8,29.2,18.8,-29.2,0.3,0.6,ACT_5V,
V0049,803b82cf-f4c8-4be3-9bf4-6efd9a0e825f,18.85,32.35,18.85,-32.35,0.3,0.6,GND,
V0050,0220ccce-45c2-4f78-8882-fe691e6e8022,18.85,33.85,18.85,-33.85,0.3,0.6,ACT_5V,
V0051,d30f4df9-0473-443a-b34c-503b671b89bc,19.5,20.6,19.5,-20.6,0.3,0.6,GND,
V0052,65113697-61a3-4702-83e4-2349a15bbca0,19.85,18.2,19.85,-18.2,0.3,0.6,ADC2_SPARE6,
V0053,4d4db3d0-0eab-40bd-b727-fbe014e5add7,21.35,19.5,21.35,-19.5,0.3,0.6,GND,
V0054,4aa3bf8c-032f-485e-a322-37ab92422171,21.35,29.6,21.35,-29.6,0.3,0.6,GND,
V0055,60e3f9d4-1524-4567-87d0-887fc69258ad,21.35,30.8,21.35,-30.8,0.3,0.6,GND,
V0056,666cfa0e-9d5e-4171-a511-d890d9547162,21.6,15.7,21.6,-15.7,0.3,0.6,GND,
V0057,ace948fe-31ae-4b02-aaec-d4375bad0d31,22.0,10.65,22.0,-10.65,0.3,0.6,ADC2_SPARE7,
V0058,13e5bc2c-c738-4aa7-9a02-fef7d7b9f726,22.0,11.85,22.0,-11.85,0.3,0.6,GND,
V0059,2a36f5a1-d396-462d-8c78-2d59b46d05ce,22.5,34.7,22.5,-34.7,0.3,0.6,ACT_5V,
V0060,d1737d9c-4a39-498c-986a-0bb4d591c1d3,22.8,18.15,22.8,-18.15,0.3,0.6,DRV_AVDD,
V0061,5201d860-ebd0-4dcf-b588-108ec334bf0b,22.9,14.2,22.9,-14.2,0.3,0.6,DRV_AVDD,
V0062,768fee74-a6bf-4813-8bbe-a499a9a0e579,22.95,32.2,22.95,-32.2,0.3,0.6,GND,
V0063,6d2e8e29-ffee-432c-a87e-0a8719a4127c,23.3,34.7,23.3,-34.7,0.3,0.6,ACT_5V,
V0064,26031015-9c82-4ade-bc00-91c82e52bd87,23.6,16.75,23.6,-16.75,0.2,0.45,ADC2_MISO_LOCAL,
V0065,c4fa29a4-3b42-4d1a-a301-e147fdf7c3b5,23.65,15.0,23.65,-15.0,0.3,0.6,ADC2_SPARE5,
V0066,4f39217a-3f8f-4545-97e1-ecd861194d1c,24.1,34.7,24.1,-34.7,0.3,0.6,ACT_5V,
V0067,c8e17146-d7ac-4955-b81e-a0b170a2fa10,24.35,25.05,24.35,-25.05,0.3,0.6,GND,
V0068,1eb41006-cb38-4474-bd7e-2d62a934af6a,24.4,16.25,24.4,-16.25,0.2,0.45,ADC2_CS_LOCAL,U23.11@F.Cu
V0069,8b366bb0-f7c6-496c-b39f-d8d73ae4b577,24.55,14.7,24.55,-14.7,0.3,0.6,GND,
V0070,2873d4bf-ae02-448b-90f9-106a867dc2cf,24.775,15.75,24.775,-15.75,0.2,0.45,DRV_AVDD,U23.10@F.Cu
V0071,3ddc47a9-68a0-4975-aa52-75df7ce64a7f,24.85,17.4575,24.85,-17.4575,0.2,0.45,ADC2_SCLK_LOCAL,
V0072,f1f3f6bf-07bc-46bc-a41a-fca1fc81f0d0,25.1,31.3,25.1,-31.3,0.3,0.6,GND,
V0073,805b94fc-84b1-48e6-b876-f661a70aec32,25.75,17.25,25.75,-17.25,0.2,0.45,ADC2_MOSI_LOCAL,U23.14@F.Cu
V0074,6ddb3c9a-290e-4ade-a4ea-80aff9fbc377,26.0,10.35,26.0,-10.35,0.3,0.6,GND,
V0075,758d72ee-3bc7-493e-a56e-5fe0380c468e,26.0,16.0,26.0,-16.0,0.3,0.6,GND,U23.17@F.Cu
V0076,76d566ef-76e7-4055-81ff-4752f51a12e6,26.25,14.75,26.25,-14.75,0.2,0.45,ADC2_SPARE7,U23.6@F.Cu
V0077,3203f674-9c1b-4229-93f5-13338859b2ae,26.75,14.1,26.75,-14.1,0.2,0.45,ADC2_SPARE6,U23.5@F.Cu
V0078,63e8edce-98f5-45cb-8a2a-89930eb486cb,26.75,30.25,26.75,-30.25,0.3,0.6,GND,U21.41@F.Cu
V0079,25165e4e-a766-4798-9518-03825102e2e2,26.8,27.3,26.8,-27.3,0.3,0.6,GND,U21.41@F.Cu
V0080,baf53280-a856-4514-a22a-162328546f09,26.8,28.0,26.8,-28.0,0.3,0.6,GND,U21.41@F.Cu
V0081,bb8a9d57-ff9a-42c5-a516-f3f20d37b080,26.8,28.7,26.8,-28.7,0.3,0.6,GND,U21.41@F.Cu
V0082,8070d9c8-c7d5-401a-8df6-f792dad3efb7,26.85,18.6,26.85,-18.6,0.3,0.6,GND,
V0083,4e3236bb-5d37-4031-9a2a-2c77c558d1f2,27.15,13.05,27.15,-13.05,0.3,0.6,DRV_AVDD,
V0084,01e4e573-2341-41c6-a36b-884d0f22a3cb,27.25,24.75,27.25,-24.75,0.2,0.45,DRV_AVDD,U21.37@F.Cu
V0085,43a25d42-6eb8-425e-8aec-b0240713613f,27.5,27.3,27.5,-27.3,0.3,0.6,GND,U21.41@F.Cu
V0086,21597515-6285-4b9c-a392-a253f36f1030,27.5,28.0,27.5,-28.0,0.3,0.6,GND,U21.41@F.Cu
V0087,2b3340db-22b2-42c8-ae78-9473fbfbe2f9,27.5,28.7,27.5,-28.7,0.3,0.6,GND,U21.41@F.Cu
V0088,2e3b7e1e-6a6e-45c9-8a3f-522bcebd31c1,27.7,15.25,27.7,-15.25,0.2,0.45,ADC2_SPARE5,U23.4@F.Cu
V0089,117c10cd-0731-40c5-b41e-c747ea9a46fb,27.75,23.85,27.75,-23.85,0.2,0.45,DRV_CS_LOCAL,
V0090,eb02ff30-637b-4761-a3b0-51aaf2ec0633,28.2,27.3,28.2,-27.3,0.3,0.6,GND,U21.41@F.Cu
V0091,bf36280b-3d3a-4d68-adce-a4ae148faa29,28.2,28.0,28.2,-28.0,0.3,0.6,GND,U21.41@F.Cu
V0092,a58277f6-15ca-43fe-ae62-74077e8186ac,28.2,28.7,28.2,-28.7,0.3,0.6,GND,U21.41@F.Cu
V0093,f089231c-6589-41ea-953e-e31e4c98d69a,28.25,21.55,28.25,-21.55,0.3,0.6,DRV_AVDD,
V0094,6b4c16a2-df76-4dd3-8815-dceaa6943600,28.25,23.0,28.25,-23.0,0.2,0.45,DRV_SCLK_LOCAL,
V0095,39c98bc9-ba62-4acc-ba61-cc666a00550d,28.25,30.25,28.25,-30.25,0.3,0.6,GND,U21.41@F.Cu
V0096,a9100ed2-d38c-4edb-a2b9-d04940cf66f3,28.6,17.95,28.6,-17.95,0.3,0.6,ADC2_MISO_LOCAL,
V0097,381f4bd2-5ac6-4fca-b419-64c95a405bcb,28.75,24.75,28.75,-24.75,0.2,0.45,DRV_MOSI_LOCAL,U21.34@F.Cu
V0098,f8e4f11e-b929-4b17-ab7a-f8739a148f81,29.1,28.25,29.1,-28.25,0.3,0.6,GND,U21.41@F.Cu
V0099,c52fe43d-07b4-4541-9337-c1be54e52f59,29.25,23.8,29.25,-23.8,0.2,0.45,DRV_MISO_LOCAL,
V0100,fc638fdb-c539-4d5f-bedc-72698fc8a759,29.75,18.6,29.75,-18.6,0.3,0.6,GND,
V0101,b3eda74e-7f21-40bd-ae9c-edb655015ce5,29.75,25.75,29.75,-25.75,0.2,0.45,DRV_INHC,U21.31@F.Cu
V0102,aa2f11cc-70fd-461d-8770-d86ae82b3d91,29.75,26.75,29.75,-26.75,0.2,0.45,DRV_INHB,U21.29@F.Cu
V0103,47d1a073-a5e4-4673-994b-988251795e0b,29.75,27.75,29.75,-27.75,0.2,0.45,DRV_INHA,U21.27@F.Cu
V0104,6de0d082-e303-4c49-ba42-61bcec643d72,29.75,28.75,29.75,-28.75,0.2,0.45,DRV_AVDD,U21.25@F.Cu
V0105,b670fb84-230e-4faa-b852-28ac36f17652,29.75,30.25,29.75,-30.25,0.2,0.45,DRV_FAULT_LOCAL_N,U21.22@F.Cu
V0106,f7fc0f0a-cf18-409e-9de9-d7270141eeaa,30.1,6.05,30.1,-6.05,0.2,0.45,MOTOR_SPI_MOSI,
V0107,df5528af-3aab-4a00-aac6-e94c6e9829ae,30.4,29.75,30.4,-29.75,0.2,0.45,ACT_DRIVE_EN,
V0108,ec463d3e-674a-4b0c-991f-df197ca1b4ba,30.5,8.6,30.5,-8.6,0.2,0.45,GND,
V0109,d9f38d1a-19b1-4246-8c65-0f4aac99e114,30.7,25.25,30.7,-25.25,0.2,0.45,WHEEL_RUN_EN,
V0110,33c1edc7-fbe4-432e-b3f5-43233179385c,30.7,26.25,30.7,-26.25,0.2,0.45,WHEEL_RUN_EN,
V0111,0d69bc19-cc0c-43fe-9d66-8b87d444385a,30.7,27.25,30.7,-27.25,0.2,0.45,WHEEL_RUN_EN,
V0112,f825a72d-3676-41e4-a637-b1a540219219,30.75,5.5,30.75,-5.5,0.2,0.45,GND,
V0113,717588b7-d619-450a-ac6d-edce50cd719c,31.05,35.9,31.05,-35.9,0.3,0.6,DRV_AVDD,
V0114,cccfbc42-5f1d-4cb8-9298-2245ba3c7869,31.35,26.05,31.35,-26.05,0.3,0.6,DRV_INHC,
V0115,2bbd85a4-108f-49a2-ad58-209ba3ec2abc,31.35,27.05,31.35,-27.05,0.3,0.6,DRV_INHB,
V0116,5b8bf869-f305-4228-bff1-2e7796941305,31.4,27.85,31.4,-27.85,0.3,0.6,GND,
V0117,6e283c2f-98b6-4373-8515-eda54b2e420f,31.45,31.15,31.45,-31.15,0.3,0.6,DRV_AVDD,
V0118,5e686975-e788-48d7-b602-06a0a417ad30,31.65,11.2,31.65,-11.2,0.3,0.6,SPI_SCLK,
V0119,c1fd2b84-96ac-44c6-84c3-28c48bc35705,31.75,5.5,31.75,-5.5,0.2,0.45,GND,
V0120,fdf53836-2e27-4a1b-be33-32ef3356e40c,31.75,32.25,31.75,-32.25,0.3,0.6,DRV_AVDD,
V0121,d8d1f1ec-66ec-49fb-b9f2-9484e43eaf93,32.2,29.5,32.2,-29.5,0.3,0.6,DRV_INHA,
V0122,d7d11f10-c21e-4873-b64c-bbaa4644ca56,32.25,8.55,32.25,-8.55,0.3,0.6,SPI_MOSI,
V0123,5deaea91-9b1d-4bb8-a0da-cc915a23a2ec,32.65,35.65,32.65,-35.65,0.3,0.6,ACT_DRIVE_EN,
V0124,68c41af0-151e-4b98-a154-663b9ea3a7bc,32.75,5.5,32.75,-5.5,0.2,0.45,GND,
V0125,f9fd50f5-8fd2-4d20-846f-c80a05252a61,32.75,22.45,32.75,-22.45,0.3,0.6,SPI_SCLK,
V0126,3935e5a7-16b3-4b06-a97c-dd1be1b2ce80,32.9,8.0,32.9,-8.0,0.3,0.6,CS_DRV8316,
V0127,065aa521-9371-4a00-9e9b-8e77a731f6c0,33.0,12.85,33.0,-12.85,0.3,0.6,MOTOR_SPI_MOSI,
V0128,328a04bf-be0c-4efc-a128-221b77e49da0,33.0,27.85,33.0,-27.85,0.3,0.6,GND,
V0129,80bc21a4-f754-4be7-9159-4b40807d5756,33.1,17.95,33.1,-17.95,0.3,0.6,ADC2_CS_LOCAL,
V0130,b010659f-4897-4608-9fd5-803c4e4a8a45,33.75,5.5,33.75,-5.5,0.2,0.45,GND,
V0131,0431942f-e290-4a92-8536-309a9599977b,33.85,11.2,33.85,-11.2,0.3,0.6,MOTOR_SPI_SCLK,
V0132,e5b3118e-2fad-43ab-8c54-47eaf3bf0614,33.95,13.7,33.95,-13.7,0.3,0.6,ADC2_SCLK_LOCAL,
V0133,b0a7312b-3e70-4b84-83ef-92bfb3cb61d9,33.95,14.5,33.95,-14.5,0.3,0.6,MOTOR_SPI_MOSI,
V0134,eb27bab8-e8de-4899-86a9-39fc593061d1,33.95,15.65,33.95,-15.65,0.3,0.6,ADC2_MOSI_LOCAL,
V0135,d5076914-4eeb-436a-8cbb-52b0b382dee2,34.25,7.8,34.25,-7.8,0.2,0.45,DRV_MISO_LOCAL,
V0136,482e799a-98d9-4124-b5c9-7b3461259607,34.75,5.5,34.75,-5.5,0.2,0.45,GND,
V0137,de5660fe-2353-45bd-ab60-5a946bd4f769,34.9,26.15,34.9,-26.15,0.3,0.6,SPI_MOSI,
V0138,d968020d-31bb-4ad8-95a4-e8dccf87da39,35.1375,12.05,35.1375,-12.05,0.2,0.45,GND,U26.1@F.Cu
V0139,65ede008-0225-40cd-96e8-27f86af3adb6,35.25,11.35,35.25,-11.35,0.3,0.6,MOTOR_SPI_SCLK,
V0140,98b19f82-d558-4772-9035-730b6e1d4e76,35.75,5.5,35.75,-5.5,0.2,0.45,GND,
V0141,7c64521e-9c89-4930-b8c6-f390a5b489d3,35.9,34.3,35.9,-34.3,0.2,0.45,GND,
V0142,96885cfa-9508-4810-8db4-7252ccacd952,35.9,35.05,35.9,-35.05,0.3,0.6,+3V3,
V0143,727d2ff4-7e2e-4830-9a7c-50700858506b,35.95,23.0,35.95,-23.0,0.3,0.6,DRV_SCLK_LOCAL,
V0144,081483b0-7090-43fd-8a38-90693d350939,35.95,24.95,35.95,-24.95,0.3,0.6,DRV_MOSI_LOCAL,
V0145,8fb4708b-f951-4c5a-9f9c-186d9a3fba4e,36.25,6.05,36.25,-6.05,0.2,0.45,MOTOR_SPI_MOSI,
V0146,4de1a0c3-e6b6-463f-a28e-bdaaf1b1f299,36.75,5.5,36.75,-5.5,0.2,0.45,GND,
V0147,9b8f6c1b-d46c-4cb5-9f3b-c7b44a342a37,37.15,7.95,37.15,-7.95,0.3,0.6,CS_ADC2,
V0148,6bccaa8b-229f-4575-bf66-5b0bb5ece9a0,37.4,40.4,37.4,-40.4,0.3,0.6,ACT_DRIVE_EN,
V0149,393ca402-2029-4465-9709-e3c287d2a7f5,37.6375,22.05,37.6375,-22.05,0.2,0.45,GND,U24.1@F.Cu
V0150,20b5d2de-c11f-4f43-9655-fc7182524c40,37.75,5.5,37.75,-5.5,0.2,0.45,GND,
V0151,9a09609a-061e-48e0-8454-2ab5b6dc0780,37.95,33.7,37.95,-33.7,0.3,0.6,WHEEL_RUN_EN,
V0152,413bc600-97e0-416d-9ca8-2e42a8c12783,38.05,30.6,38.05,-30.6,0.3,0.6,WHEEL_PWM_B,
V0153,58ef58e7-48a0-428f-910e-eb38ecf197eb,38.05,35.15,38.05,-35.15,0.2,0.45,+3V3,U22.14@F.Cu
V0154,b7e25a15-4104-4bce-8ab4-1bea14d07dd8,38.35,23.45,38.35,-23.45,0.3,0.6,SPI_MOSI,
V0155,5975bdf2-b101-40d1-923f-a914f727de5c,38.35,25.15,38.35,-25.15,0.3,0.6,SPI_MOSI,
V0156,39d0ad83-c7c0-4047-98c2-2065c5e4b355,38.75,5.5,38.75,-5.5,0.2,0.45,GND,
V0157,24d84cea-3a85-476c-97af-222828d3d2a9,39.2,17.05,39.2,-17.05,0.3,0.6,CS_DRV8316,
V0158,72984274-a9c3-4e02-96f9-7b9580b74070,39.25,6.05,39.25,-6.05,0.2,0.45,WHEEL_PWM_A,
V0159,3978e986-337b-4f10-aff1-353810cc3926,39.65,13.9,39.65,-13.9,0.3,0.6,CS_ADC2,
V0160,78d7de9e-d832-4420-ac51-8d83d2a7d462,39.75,5.5,39.75,-5.5,0.2,0.45,GND,
V0161,602d1faa-477b-432d-bc62-28a741ec69ed,40.0,40.85,40.0,-40.85,0.2,0.45,WHEEL_PWM_A,U22.4@F.Cu
V0162,4101309d-51e0-4585-9409-5ededd0f3c3b,40.3,7.95,40.3,-7.95,0.3,0.6,WHEEL_PWM_B,
V0163,2938e06d-a725-47a6-9aad-ddb3bb337ff9,40.3,29.0,40.3,-29.0,0.2,0.45,GND,
V0164,42f8a56e-6736-410e-8877-34be6c1b3a61,40.3,31.5,40.3,-31.5,0.2,0.45,GND,
V0165,d28c7d92-7b64-4b18-95fd-fe4dd6ffb061,40.35,33.6,40.35,-33.6,0.3,0.6,WHEEL_PWM_B,
V0166,429d27a6-caea-49a7-9781-3c61eba4e49f,40.4,36.7,40.4,-36.7,0.3,0.6,WHEEL_PWM_C,
V0167,eba17e3d-43ef-4e99-a6eb-e50f9e10fb30,40.75,5.5,40.75,-5.5,0.2,0.45,GND,
V0168,14be1eeb-0452-4104-8158-b9aff52967d1,40.8,38.9,40.8,-38.9,0.2,0.45,GND,
V0169,7909f59c-c9e9-4b5a-80b1-331e348497d9,41.1,7.95,41.1,-7.95,0.3,0.6,WHEEL_PWM_C,
V0170,a678249b-5beb-4168-83ac-2d78c3069554,41.7,14.6,41.7,-14.6,0.2,0.45,GND,
V0171,94fcd2b3-9dd3-402b-809b-bb765c75857b,41.7,25.7,41.7,-25.7,0.3,0.6,DRV_CS_LOCAL,
V0172,4a0aa84c-5b81-4c77-944b-8e8f08c1383d,41.75,5.5,41.75,-5.5,0.2,0.45,GND,
V0173,c854e6fd-759d-4564-80c9-9bdd60fdd8a5,42.2,37.8,42.2,-37.8,0.3,0.6,WHEEL_PWM_C,
V0174,4f77e237-06ef-4d3b-a4ac-b05c4aa94f22,42.25,7.95,42.25,-7.95,0.3,0.6,ACT_DRIVE_EN,
V0175,6e7094a0-1a6b-4569-8ba0-7c5e5e3d022f,42.75,5.5,42.75,-5.5,0.2,0.45,GND,
V0176,e9b4cf71-297a-4990-8eac-8d9d502f39e0,42.8,14.7,42.8,-14.7,0.3,0.6,DRV_AVDD,
V0177,4d60eaa5-b581-4cb6-a772-78e5b0601b70,42.8,16.1,42.8,-16.1,0.3,0.6,DRV_AVDD,
V0178,79bb35be-7885-48a2-a7c8-716bbc1e4a27,42.8,21.4,42.8,-21.4,0.3,0.6,DRV_AVDD,
V0179,1be5c448-fb5e-4d0c-845e-2dd3c215a3f3,42.8625,23.35,42.8625,-23.35,0.2,0.45,GND,U24.12@F.Cu
V0180,b56d2bed-1109-4c45-8d7c-8a43800be862,42.8625,24.65,42.8625,-24.65,0.2,0.45,GND,U24.10@F.Cu
V0181,2c6d0764-a08f-4044-9ba4-6e0cf6a4d8b6,43.3,35.7,43.3,-35.7,0.3,0.6,WHEEL_PWM_B,
V0182,8c12758b-0ae4-4eb6-ae0f-2015994fcdd3,43.5,19.3,43.5,-19.3,0.2,0.45,GND,
V0183,7d9a409c-0c36-4152-9b6d-bf92998b556d,43.75,5.5,43.75,-5.5,0.2,0.45,GND,
V0184,5faf2d8f-506a-411a-a780-0cb90c720e4f,43.95,20.25,43.95,-20.25,0.3,0.6,DRV_AVDD,
V0185,dc7f9f8e-8519-437a-8459-a426bb0ad064,44.5,7.95,44.5,-7.95,0.3,0.6,DRV_FAULT_LOCAL_N,
V0186,20fb8dc2-0c4c-4eca-8b4d-1dffa7aed7fd,44.75,5.5,44.75,-5.5,0.2,0.45,GND,
V0187,9c68c3b2-b001-458e-86a7-da7cc507d72b,45.25,7.8,45.25,-7.8,0.2,0.45,+3V3,
V0188,13e2ca87-5b01-4225-ab7e-a3e8535015a9,45.25,25.15,45.25,-25.15,0.3,0.6,DRV_AVDD,
V0189,5545393e-36cb-4e05-b42c-ac3e08fe6189,45.35,35.5,45.35,-35.5,0.3,0.6,WHEEL_PWM_A,
V0190,bb5eb469-b05f-4e46-9918-865a19418fbc,45.35,38.75,45.35,-38.75,0.3,0.6,WHEEL_PWM_C,
V0191,4de72072-f4f0-4f12-b6ff-ab7a93a5d2fd,45.85,27.0,45.85,-27.0,0.3,0.6,DRV_AVDD,
V0192,80cd6d00-e7d3-4357-9eb5-bee8431b4989,45.9,6.05,45.9,-6.05,0.2,0.45,WHEEL_PWM_A,
V0193,78fa76c3-cb74-4acd-9f46-6e15d757c33d,46.7,29.5,46.7,-29.5,0.3,0.6,DRV_FAULT_LOCAL_N,
V0194,43353612-c709-426f-99c5-1481bfc90b90,46.85,26.0,46.85,-26.0,0.3,0.6,DRV_FAULT_LOCAL_N,
V0195,7748bd4f-ee02-4a04-8188-4124c98f1105,47.0,26.8,47.0,-26.8,0.3,0.6,DRV_FAULT_LOCAL_N,
V0196,d17b7ff1-13b5-4912-8c75-c0b0e32f57be,48.5,27.2,48.5,-27.2,0.3,0.6,DRV_FAULT_LOCAL_N,
