Via,UUID,KiCad X mm,KiCad Y mm,Gerber/CPL X mm,Gerber/CPL Y mm,Drill mm,Diameter mm,Net,SMD pad drill overlap
V0233,944cb0d6-52e0-41d6-b3d8-3d878e9294ac,28.75,83.05,28.75,-83.05,0.2,0.45,+3V3,R72.1@F.Cu
V0239,00db29b4-3eed-432b-a450-584d3ccbd195,29.15,65.0,29.15,-65.0,0.2,0.45,GND,U36.2@F.Cu
V0241,dcc1a2d2-f097-4e7e-a769-919caaf55924,29.2,20.5,29.2,-20.5,0.2,0.45,ENC_SCLK_LOCAL,J6.3@F.Cu
V0242,c532e5ac-1ecc-4d9e-b473-67120b615619,29.3,86.0,29.3,-86.0,0.2,0.45,GND,R48.2@F.Cu
V0276,75c39081-d02e-4b33-abdd-68c82349322f,31.6,78.9,31.6,-78.9,0.2,0.45,ADC_CS,R7.2@F.Cu
V0278,5a7e2b57-6700-49e3-88fb-5ebf31636ddb,31.65,91.55,31.65,-91.55,0.2,0.45,PAW_MOTION_N,TP26.1@B.Cu
V0281,6b99b8c9-399f-4680-bbb8-ff597143df7a,32.0,88.0,32.0,-88.0,0.2,0.45,GND,TP15.1@B.Cu
V0294,71e69fc3-4d9f-4aa9-ade6-1c0cbcce1337,32.6,65.375,32.6,-65.375,0.2,0.45,OPT_SCLK,R133.2@F.Cu
V0297,6551e1e6-6b66-4b4b-ae85-2432b26acecd,32.65,95.45,32.65,-95.45,0.2,0.45,DRV_FAULT_N,U3.37@F.Cu
V0315,f4e977f3-7e99-4259-8e80-336877ff2972,33.8,23.0,33.8,-23.0,0.2,0.45,ENC_CS_LOCAL,R99.2@F.Cu
V0326,2ffc1d0c-98a9-42b7-aacb-bd316ba4f046,34.25,89.85,34.25,-89.85,0.2,0.45,WHEEL_PWM_C,U3.30@F.Cu
V0330,f4fa0958-fcb2-40fd-bd0e-5372440dae40,34.6375,54.65,34.6375,-54.65,0.2,0.45,OPT_3V3,U39.5@F.Cu
V0337,c9317f62-1a4c-4dcb-b4a2-fc3489758ad6,34.95,89.7,34.95,-89.7,0.2,0.45,MOTOR_SPI_SCLK,U3.29@F.Cu
V0369,721788f1-0149-4a55-8c37-ad22b33d3f6b,37.45,89.45,37.45,-89.45,0.2,0.45,OPT_CTRL,U3.26@F.Cu
V0372,1fd1ab08-f4d9-4d27-a574-965e34f9c4e7,37.6,55.65,37.6,-55.65,0.2,0.45,SPI_MOSI,U37.2@F.Cu
V0373,eb63ffd1-569c-4d43-afb3-1d595223b302,37.65,56.4,37.65,-56.4,0.2,0.45,OPT_MOSI,U37.3@F.Cu
V0378,488d727f-2a9a-429e-a3e7-6a3eec4f4ef6,38.175,85.2,38.175,-85.2,0.2,0.45,WHEEL_RUN_REQ,R77.1@F.Cu
V0379,09abe31c-1ef3-4870-a309-94a222009cbc,38.2,55.7,38.2,-55.7,0.2,0.45,SPI_MOSI,U37.2@F.Cu
V0380,4e3342df-5db1-4c05-9883-7c8574b3bc77,38.2,57.0,38.2,-57.0,0.2,0.45,CS_PAW,U37.4@F.Cu
V0387,4c8f3f74-9b17-4bf2-92f6-84fb2dc2e573,38.8655,97.825,38.8655,-97.825,0.2,0.45,GND,U3.61@F.Cu
V0394,d877427b-2ed4-40e9-a85a-2f37fb1c063d,40.0,24.575,40.0,-24.575,0.2,0.45,GND,U1.3@F.Cu
V0407,b7796475-f271-4aff-870f-c1bf75db53b5,41.7,89.75,41.7,-89.75,0.2,0.45,ACT_HEARTBEAT,U3.21@F.Cu
V0410,fa1a076c-262c-488f-b0c4-a02d1d499457,41.75,82.975,41.75,-82.975,0.2,0.45,GND,C72.2@F.Cu
V0421,4a7df434-9116-4241-986f-88347e5625fd,42.45,89.6,42.45,-89.6,0.2,0.45,ACT_REQ,U3.20@F.Cu
V0429,01dc88db-c54a-4fb3-8a58-b90bf6b6eed2,43.0,87.85,43.0,-87.85,0.2,0.45,RGB_DATA,R78.1@F.Cu
V0437,d5becaa7-bce2-4115-ae48-cef73ffd77c6,43.3,58.35,43.3,-58.35,0.2,0.45,OPT_MISO,U37.9@F.Cu
V0438,d16c13e4-c718-41bd-b095-f7b350aa3494,43.35,57.65,43.35,-57.65,0.2,0.45,CS_PAW,U37.10@F.Cu
V0446,403e93b9-1f96-4a27-a57f-ba8cc3535744,44.05,89.85,44.05,-89.85,0.2,0.45,CC_OUT1,U3.18@F.Cu
V0449,cfe531d7-dfca-4c73-993e-b7cb918c0aa8,44.2,92.0,44.2,-92.0,0.2,0.45,WHEEL_PWM_A,TP29.1@B.Cu
V0467,b70cb840-d8e4-4d3c-8e7a-97379394eb43,45.75,84.6,45.75,-84.6,0.2,0.45,+3V3,U32.8@F.Cu
V0477,f6215a62-0ee7-4848-9323-ab42a557d46d,46.15,89.45,46.15,-89.45,0.2,0.45,SPI_SCLK,U3.16@F.Cu
V0491,e34c3b2b-7294-40a7-82e4-005aa2df18bb,46.6,46.775,46.6,-46.775,0.2,0.45,+3V3,C19.1@F.Cu
V0496,e5fc98ee-d060-4a7b-8a7b-7aeb4e2a779d,46.75,84.5,46.75,-84.5,0.2,0.45,+3V3,C70.1@F.Cu
V0498,329dbe93-1c34-4133-b999-079a32042e64,47.0,28.65,47.0,-28.65,0.2,0.45,GND,R130.2@F.Cu
V0499,5f0510d3-1cc7-484b-926a-812304cddfc3,47.0,30.3,47.0,-30.3,0.2,0.45,RGB_5V,R130.1@F.Cu
V0502,bfd7789b-c879-46d0-8221-902fdea90af4,47.0,90.5,47.0,-90.5,0.2,0.45,SPI_MOSI,U3.15@F.Cu
V0503,0e0a523a-3a4e-4cac-8cd7-478915c400c8,47.0,93.05,47.0,-93.05,0.2,0.45,BTN_R_CMD1,U3.12@F.Cu
V0504,3b66e98f-76be-4105-b8d5-839f3f96d9bd,47.05,17.35,47.05,-17.35,0.2,0.45,RGB_5V,U33.5@F.Cu
V0505,45194f17-4057-4955-9c4a-07150fb5eb0d,47.05,22.0,47.05,-22.0,0.2,0.45,PWR_5V,C73.1@F.Cu
V0509,7d532b18-41d9-442a-be8a-8b6b4de61a05,47.3,88.2,47.3,-88.2,0.2,0.45,BOOT_SAFE_SPARE,R80.1@F.Cu
V0517,1c2425fe-8a53-44ec-9352-72d92abb51bd,47.75,24.7,47.75,-24.7,0.2,0.45,GND,R129.2@F.Cu
V0531,fb0dfce3-0f87-4d55-8802-ea15b1f6abba,48.45,22.35,48.45,-22.35,0.2,0.45,GND,C73.2@F.Cu
V0535,8bff88d7-e972-48d8-9083-0dad6006dd11,48.65,63.75,48.65,-63.75,0.2,0.45,ENC_MISO_LOCAL,R101.1@F.Cu
V0537,0ee5b96f-6fff-4b27-a0a8-760f10152fab,48.7,28.55,48.7,-28.55,0.2,0.45,RGB_5V,TP38.1@F.Cu
V0553,bc33579e-f892-48f2-be6a-b5bc56aea474,49.25,28.35,49.25,-28.35,0.2,0.45,RGB_5V,TP38.1@F.Cu
V0557,f6226648-758e-4095-b0c7-a3e1d8dd59a4,49.45,86.5,49.45,-86.5,0.2,0.45,+3V3,C71.1@F.Cu
V0573,5f5d10e9-a551-4e4f-8f25-e827e2e1f1fa,50.15,98.35,50.15,-98.35,0.2,0.45,+3V3,C5.1@F.Cu
V0576,0dc65eec-368a-456e-b45a-d8abbc48235f,50.25,21.35,50.25,-21.35,0.2,0.45,RGB_5V,C74.1@F.Cu
V0583,16ca9f41-1573-46a1-bf14-f8275d4987f3,50.5,46.0,50.5,-46.0,0.2,0.45,GND,U10.17@F.Cu
V0599,ec8f9ee4-2e9f-4d61-a24a-650d6bf1a466,51.1,54.1375,51.1,-54.1375,0.2,0.45,DRV_FAULT_LOCAL_N,U25.12@F.Cu
V0600,8bec1656-c4fa-4373-bf4c-f4bfb9bc0f99,51.1,59.85,51.1,-59.85,0.2,0.45,SPI_MISO,U25.3@F.Cu
V0602,24d98f7a-0a39-47e2-9a40-7c65c4c4b7a6,51.3,44.6,51.3,-44.6,0.2,0.45,SPI_SCLK,U10.13@F.Cu
V0610,f242f235-12e9-4a1c-bd36-3a44a2637920,51.75,59.85,51.75,-59.85,0.2,0.45,CS_MA735,U25.4@F.Cu
V0611,2f99b653-7143-457b-bd67-3abbdc6d5ad4,51.75,94.65,51.75,-94.65,0.2,0.45,ACT_DRIVE_EN,R49.1@F.Cu
V0612,6d727dc5-a03d-4591-a162-69c32d1ef3bd,51.8,53.9,51.8,-53.9,0.2,0.45,DRV_FAULT_N,U25.11@F.Cu
V0613,2ecda26d-e367-404d-a782-4c5f4d5b1919,51.95,45.2,51.95,-45.2,0.2,0.45,SPI_MISO,U10.12@F.Cu
V0615,51d30e8c-18b1-4c2f-a3ac-8bf65381857a,52.0,79.0,52.0,-79.0,0.2,0.45,OPT_VDDPIX,TP42.1@B.Cu
V0621,d6caccb8-8795-4ca6-b8c6-0bc3afcbd789,52.4,59.8625,52.4,-59.8625,0.2,0.45,ENC_MISO_LOCAL,U25.5@F.Cu
V0623,35004dd7-e50f-4bf9-ab9d-6d2385dfae87,52.6,84.0,52.6,-84.0,0.2,0.45,GND,TP9.1@B.Cu
V0636,3766163a-bb0d-43c2-919f-7c077f5c1e34,53.05,59.4625,53.05,-59.4625,0.2,0.45,SPI_MISO,U25.6@F.Cu
V0646,f3f01933-fb81-4815-a688-087aa0112367,53.7,54.15,53.7,-54.15,0.2,0.45,MOTOR_SPI_MISO,U25.8@F.Cu
V0647,eeb727d4-edeb-4613-b5ef-2ca5f63ab6ba,53.75,46.25,53.75,-46.25,0.2,0.45,+3V3,C20.1@F.Cu
V0656,ae7b093f-1f04-4d41-8abf-320ae0e58aa0,54.0,93.7,54.0,-93.7,0.3,0.6,ACT_DRIVE_EN,TP13.1@B.Cu
V0657,c8089d71-f419-431d-82b6-24e69f5dc9bb,54.05,24.7,54.05,-24.7,0.2,0.45,CC_OUT2,U11.8@F.Cu
V0672,f681cbc7-f923-40d3-bde4-8b0dc235ded8,55.0161,49.4661,55.0161,-49.4661,0.2,0.45,GND,C36.2@F.Cu
V0676,36cff345-c599-4bc0-9222-4a0ff6ca9cbe,55.15,94.3,55.15,-94.3,0.2,0.45,BTN_R_IN1,U18.3@F.Cu
V0709,c0c9ffd2-1f55-4939-ac92-89497821046b,57.05,24.55,57.05,-24.55,0.3,0.6,GND,C1.2@F.Cu
V0711,bbc7abe0-d761-47b2-bfc2-1e286a2dfd04,57.2,83.9,57.2,-83.9,0.2,0.45,VBUS_USB,TP10.1@B.Cu
V0717,d8c05e02-d734-41ff-a23a-98ab0f02667d,57.45,78.85,57.45,-78.85,0.3,0.6,WHEEL_RUN_REQ,TP17.1@B.Cu
V0745,48f79afa-fd6b-4368-b0b0-c575ad5efadf,59.05,59.15,59.05,-59.15,0.2,0.45,ACT_5V,C40.1@F.Cu
V0773,486dc0e5-0fbc-42dc-9724-f0ec0c650659,60.775,41.5,60.775,-41.5,0.2,0.45,GND,C18.2@F.Cu
V0776,46539b63-d474-4f33-b2aa-7e75e102125c,60.85,96.95,60.85,-96.95,0.2,0.45,HALL_EN,U18.8@F.Cu
V0782,e0dbde29-e988-4a6c-a99b-bead6a29b352,61.15,55.3,61.15,-55.3,0.2,0.45,PWR_5V,C89.1@F.Cu
V0784,bf5847b5-d646-485a-9a2c-f3e3b6b55478,61.15,84.9,61.15,-84.9,0.2,0.45,GND,SW1.2@F.Cu
V0785,656080e6-6afe-45ec-988c-39bf1c481b8f,61.15,89.1,61.15,-89.1,0.2,0.45,GND,SW2.2@F.Cu
V0786,8c3f1357-5816-46ef-857e-9003bb784d92,61.2,17.25,61.2,-17.25,0.2,0.45,RGB_5V,C75.1@F.Cu
V0794,9435a893-4fbf-4534-98d3-8cc4f42ace06,62.0,95.65,62.0,-95.65,0.3,0.6,MCU_EN,TP6.1@B.Cu
V0802,0f7d3efe-51e7-467b-9d2a-0b4cc2e174e7,62.55,42.275,62.55,-42.275,0.2,0.45,GND,U9.2@F.Cu
V0808,67bddcdd-628b-4cdf-a268-06a7525e6757,62.8,17.25,62.8,-17.25,0.2,0.45,GND,C75.2@F.Cu
V0823,cbe335ee-5be2-4123-b6c2-e0fb61caedf5,64.45,39.65,64.45,-39.65,0.2,0.45,GND,R24.2@F.Cu
V0842,654adc7e-6d26-4e07-85ed-ace04cfdb92b,66.45,19.65,66.45,-19.65,0.2,0.45,GND,U34.3@F.Cu
V0871,f8cc7d05-93e6-4e33-808a-d1585be0095e,71.3,62.5,71.3,-62.5,0.2,0.45,VBUS_USB,TP1.1@B.Cu
